Text,label
刘烨 不是故意 说 会 讽刺 男人 说者无意 听者有心 谢娜 回应 很 招黑 真无语 张杰 刘烨 ,Disgust
真心 喜欢 喊麦 文化 我能 说 一句 活该 ,Disgust
儿子 画 ,None
算咯 不行 噢 ,Sorrow
哈哈 私人生活 网络 分 很 开滴 ,Happiness
瘦死事 胖死 事大 真的 胖死 ,Sorrow
唱得 太好了 甘心 真的 甘心 黑幕 黑幕 ,Disgust
哈哈哈 掉 白痴 妄想 里 出不来 ,Happiness
我消 内火 需要 阴阳 调和 ,None
本来 以和为贵 可特 有人 上门来 找 事儿 撕得 心烦 ,Disgust
手势 看不见 看不见 别看 千万别 看 ,None
可惜 全职 彩 铅 做 ,None
恭喜 恭喜 结婚 ,Love
重庆 下雨 好 凉快 ,Love
生日快乐 好 温馨 好 幸福 ,Love
草 开玩笑 ,Disgust
嘿嘿 美貌 智慧 并重 欣欣 捏 ,Happiness
孩子 五岁 一听 研三都 傻眼 ,None
喜欢 模仿 喜欢 泫 雅 ,Disgust
醉 折磨 我醉 没人 照顾 ,Disgust
陷入 童话 四年 陷入 不晚 ,Love
那会 分手 每分 每秒 希望 不想 活着 ,Disgust
应该 算 亲 北京 时间 生日 生日快乐 祝 一切顺利 开开心心 哦 ,Love
信 说 说 板块 ,Disgust
谢谢 终于 脱离苦海 我要 爆睡 几天 ,Happiness
标准 高富帅 绝对 清晰 分辨率 高 ,Love
真的 你照 好 ～ 哈哈哈 ,Happiness
小翠 提到 东方 哥哥 ,None
老毕 连莫吉托 喝 没劲 ,Sorrow
在理 咱俩 应该 屎壳郎 道歉 这是 屎壳郎 黑 最惨 侮辱 屎壳郎 ,Disgust
哈哈哈 哈哈 ,Happiness
这首 当年 大热 歌曲 喔 ,None
东北 还好 说 所有 河南人 打心 眼里 贼 ,Disgust
好好 好好 ,Happiness
哒 背影 好看 ,Disgust
那太好 再 想 好吃 ,None
姗姗 不好 会 难过 ,Sorrow
喜欢 灯笼 ～ 太有 春天 感觉 ,Love
说 这话 一看 前段时间 山猫 事 栽跟头 ,None
喜欢 崔建 当年 封杀 ,Disgust
喜欢 角色 妹妹 梅儿 更象 邻家 小妹 ,Love
妈妈 好看 哥哥 说 关晓彤 好看 瞎 ,Disgust
亲 想 问下 第一次 充电 多久 充 五六个 钟 亮 ,None
逍遥 外地 回来 赶紧 打针 别 拖 病好 喝 酒 好 ,None
很 夸张 ,None
植物 没用 几次 小心 摔 扔 ,None
吃 摸 药 痒 难受 ,Sorrow
台风 暴雨 最 干净 ,Love
恭喜 恭喜 宿舍 喜临门 ,Love
倒 刘海 整了 三四个 月 卡 发整 回去 不长不短 不好 打整 ,None
公 好 弱 母 好 强势 感觉 ,None
疼 快 ,Sorrow
完 彻底 张 学飞 ,None
马赛克 干 今儿 拾掇 ,None
再 两天 回不去 ,None
曾少主 这回 发博 至少 在玲 花生 日 那天 祝贺 拍 张 花花 特别 点 照片 挂 博里 ,Love
哈哈哈 我刚 看 完 南京 后遗症 ,Happiness
喜欢 晚上 吃 几点 比较 好 ,Love
实在 理解 广告 明明 截 很多 照片 选中 翻白眼 这张 ,None
说 爱 笨蕉 宝贝 打死 ,Disgust
懂 白看 ,None
老哥 成 专业 马拉松 选手 拉 消息 全是 马拉松 祝 跑 佳绩 ,Love
画画 很 好 没想到 多人 冒充 ,None
潜在 情敌 ,Fear
哈哈 实验室 秉承 干 项目 不写 论文 精神 一有 时间 吃喝 玩 ,Happiness
不及 日语 好 ,Love
想法 ,Disgust
假唱 承认 大大方方 ,Disgust
恭喜 看 恐怖 再 一胎 ,Love
可爱 小梦 想 问下 产品 画 眉毛 美如画 ,Love
欲望 表象 ,None
灏 明 上海 拍 春天 有个 约会 哦 女主角 she 里 selina ,None
努力 方向 靠近 ,None
画 好 ,Love
是从 2001 年 简单 爱 80 后能 ,Love
安乐死 死 ,Disgust
真 噶 我姐 铺头 噶 新货 我试 系好 舒服 想 买 你果 几钱 ,Love
说 眉毛 丑 修 说 挺 好 纯天然 说 嘴巴 丑 说 精致 人太 可恶 ,Disgust
太 美 弄 换 手机 冲动 忍忍 ,Love
跑 起来 步子 跨 蛮 追不上 哈哈 ,Happiness
开 ～ 感觉 淘宝 这方面 良心 ～ ,Happiness
明明 软件 非要 先 手算 数据 错 翻 好多 页 算 这才 最 痛苦 ,Sorrow
忧郁 阳光 开朗 活泼 祖国 未来 花朵 ,Love
发个 互粉 请求 ,None
语文 不好 ,Disgust
女孩子 热天 少 吃 冷食 吃水果 蔬菜 补充 维生素 c 绿叶 素对 皮肤 身体 好处 ,None
谢谢 正 能量 ,Happiness
哈哈 着急 嘿嘿 ,Happiness
你好 上进 吃苦 ,None
绝望 是因为 理解 没说 不疼 真的 说 ,Disgust
真 羡慕 菲比 唔 肯 搞 地无订 ,Love
蛮 可爱 拍 好 效果 ,Love
规划 希望 修房子 可惜 周末 有段 日子 ,None
3.8 + 10% 利润 提成 + 五险 不低 看 佛山 同行 3k ,None
晚上 姐姐 说 蛋糕 吃 po 图 ,None
大王 元旦 快乐 新年 敲 开心 ,Love
少来 这套 郁闷 压抑 ,Sorrow
嘻嘻 唱 好好 哦 玩 唱 真心 难听 ,Love
太晚 友尽 ,None
一家 公司 应为 发展 过程 中 麻烦 众矢之的 支持 乐视 集团 支持 乐视 产品 ,Love
劫富济贫 罗宾汉 好人 ,Love
听 说 两个 学姐 曼谷 好像 北边 ,None
请 尊重 信仰 ,Disgust
新乡 医学院 三全 学院 新校 村里 大学 ,None
傻 晒 ,None
看 完 感觉 惨 ,Sorrow
玩 五六天 贵阳 荔波 都匀 寨子 ,Sorrow
风湿 心累 ,Sorrow
哈哈 三天 早上 吃 小面 重庆 吃 真 太 好吃 ,Happiness
看着 不声不响 撩起来 太 可怕 ,None
眼影 牌子 ,None
数学 很 牛 逼 ,None
妈妈 说 河里 捡回来 ,None
理由 接受 哈哈哈 哈哈哈 ,Happiness
眼中 八卦 大事 ,None
诋毁 到哪去 ,Disgust
觉系 咩 ,None
喜欢 听 好话 乌鸦 狐狸 ,Love
太臭 放走 哈哈哈哈 嫌弃 猫 ,Happiness
代售 随意 存放 发到 展子 货 ,None
详细 咨询 微信 服务 号 mj78900 ,None
想要 传达 精神 一代 一代 凡行 好事 无问 西东 ,Love
说 摩托车 ,None
症状 给予 建议 ： 珍爱 生命 远离 毛片 ,None
好久 红袖 文在 首榜 看 真的 很棒 ,Love
这张 照片 还用 滤镜 用心 ,Love
臭 不要脸 婊 砸 ,Disgust
生快 亲 可惜 没预 ,Love
试 ,None
爱奇艺 会 更新 追到 30 集 ,None
哈哈 说 反驳 ,Happiness
永远 世人 记得 疯子 会 记得 ,None
照片 美哭 and 在意 长辈 催促 好好 好 转身 忘 ,Love
朋友 指 拌 饭 技巧 ,None
说 纯爱 片 后期 恐怖 ,Fear
会 放过 挣钱 机会 ,None
改次 耍 想起 说 开心 昨天 喝多 想起 这句 话 好开心 咯 ,Happiness
世界 抛弃 ,Fear
说 才能救 ,None
发生 让你在 昨天 咱俩 进晚餐 发出 感慨 ,None
自导自演 ,None
哈哈 巧 刻骨铭心 他俩 名字 斜音 写 唉 下午 去过 苦 逼 生活 不想 回 学校 ,Happiness
安琪拉 挡 威胁 举报 ,Disgust
头等 ,None
追 第七 季 第二集 有史以来 看过 最棒 美剧 ,Love
秀 恩爱 打死 ,None
旱 死 ,None
小姐姐 饿死 吃 顿饭 比做 业绩 难 ,Disgust
戳戳 恰如其分 鼻头 ,None
祝福 真心 距似 黄浩信 ,Love
入 坑 系列 比较 最 好玩 最好 平板 屏幕 越大越 好 ,Love
晚 好处 醒过来 雪花 哈哈哈 ,Happiness
哈哈 愿望 十分之一 ,Happiness
士多 货物 陈列 方式 很 有趣 ,Happiness
哈哈 好 玩 回来 ,Happiness
放弃 卧室 做 衣帽间 分 三分之一 主卧 洗手间 衣帽间 惨不忍睹 ,Sorrow
连接 ipad 键盘 蓝牙 传输 罗技 无线 键盘 无线网 需要 主机 插 usb 端 接 平板 ,None
收费 音乐 咯 ,None
艾迪 好 喜感 ,Happiness
有个 喜欢 节日 女朋友 请问 送 礼物 好 ,None
啊啊啊 是从 宫 喜欢 王源 17 年 暑假 喜欢 ,Love
下午 看 少年 派 奇幻 漂流 李安 片子 不错 值得一看 ,Love
看 永远 不醒 装睡 ,Disgust
小宝贝 吃辣条 ,None
哈哈 买 票 只能 中转 ,Happiness
四季 发型 长 头发 ,None
赢 拜仁恒大 彻底 出名 ,None
接受 对焦 圈无爱 孩子 几月 ,None
空调 吸 粉笔灰 东西 好 牛 逼 ,Love
球品 不好 好 没用 ,None
看 网球王子 兴趣 哈哈 ,Happiness
睡 熬 这么晚 对得起 白天 喝 红枣 枸杞 ,None
舒芙蕾 哪家 看着 好棒 ,Love
学妹 下次 约 汉服 妹子 约 ,None
木有 心情 不好 ,Sorrow
晚风 吻 荷花 叶 醉倒在 池边 ,Sorrow
真 宿舍 变态 讨厌 重庆 ,Disgust
好好 玩耍 ,None
明白 我会 丫头 训练 狂魔 努力 ,None
鱼意 ,None
犀浦 宋仲基 好久 约 哈哈哈 ,Happiness
刷 得来 爆 手机 太瞥 android 入门 机 2.2 太卡 刷 快些 ,None
水 军装 胡椒 节奏 路 跟着 起哄 逼 逼 胡椒 真特 无语 借刀杀人 黑 奚梦瑶 感觉 ,Disgust
" 讲鬼 , 梦姐 向来 大方  ",Love
时间 告诉 一件 大事 ,None
" 生命 并不比 一株 花 经得起 风雨 , 珍惜 生命 , 热爱生活  ",Love
家 ～ 承认 ,None
倒 原博 最后 一句 不错 ,Love
好 讨好 一堆 负责 卖 没什么 区别 ,Sorrow
赶路 匆匆 · 江西 真 好 地方 · · 赶紧 毕业 赶紧 回来 · · · · · ,None
表皮 酥 酥脆 脆 哒 馅儿 甜 当菜 甜点 哈哈 ,Happiness
带娃累 莫名其妙 瘦 ,Sorrow
最初 抄袭 卖 迷弟 设在 饭圈 打出 名声 所有 大势 男 团结 梁子 ,Disgust
远程 很 绝望 ,Sorrow
这是 英国 itv 观众 2011 年 选出 最 喜爱 beegees 歌曲 ” 第二位 仅次于 howdeepisyourlove ,None
美女 吴亦凡 老婆 ,None
哈哈 真 羡慕 小勇 收获 好 ,Love
感觉 合作 会 擦 很 火花 ,None
随便 爽完 记得 换 爽 ,None
想 编剧 立夏 爸爸 死 回忆 小时候 哼 可怕 下部 剧 郑爽 几个 变态 编剧 ,Disgust
好乖 瘦 心疼 ,Love
当初 每颗 果子 刻 大名 ,Disgust
心态 放 好 皆 好 ,None
郑爽 谈恋爱 ,None
爱 真的 想 是因为 ,None
系甘 ～ 好 唔该晒 ,None
厕所 里 笑 行 说 为啥 空 ,Happiness
° 林心如 金钟 庆功 苏有朋 惊喜 现身 参加 心如 庆功宴 媒体 ,None
哈哈 这是 必然 ,Happiness
厄过 甘 多个 唔 挣载 厄 埋 哈哈 ,Happiness
手机 iphone4 玩 ,None
很 生气 很 对不起 首页 姐妹 ,Disgust
拒绝 过段时间 ,None
单选 还考 武大 靖 很 感人 ,Happiness
上海 出差 顺道 拜访 大律 ,None
回家 几日 游 唉 奈子 好久没 见到 元硕 过年 刚见 婆婆 ,None
哈哈 年少 不堪回首 ,Happiness
一看 买 地方 生鲜 快递 不到 ,None
日子 久 白玫瑰 终成 衣领 一粒 剩饭 红玫瑰 刻 心上 朱砂 痣 ,None
噢 毕业 ,None
巧 挑 幸福 一辈子 哈 ,Happiness
大大的 恭喜 ,Love
敷 完 白会 伤害 很大 ,None
买 五芳斋 鲜肉 粽 老婆 喜欢 吃 糯米 食品 ,None
希望 开心 幸福快乐 全世界 最好 乔任 梁 ,Love
想 气纯 说 俩 句 真 应该 敷衍 ,Disgust
妈呀 提醒 尿 ,Fear
真的 傻 明明 牛骏峰 猜 喊 猜 猜 ,Disgust
尴尬 癌 要犯 三观 崩坏 ,Disgust
搞 点 东西 养 养 肖恩 ,None
好 哒 ,None
希望 听到 live ,Love
涉嫌 骗 捐 ,Disgust
开心 一会儿 感觉 爱情 好 ,Love
不想 烫头发 ,None
还好 年关 喜欢 瘦 吃 起来 健康 ,None
说 偶像 不好 骂 so ,Disgust
yep 法律 ,Disgust
干净 抱 ,None
自我 麻痹 ,Disgust
买 假 ,None
哈哈哈哈 壳 很 好看 变黑 ,Happiness
百合 那瓶 确实 不错 很 清新 ,Love
不行 行不行 另一回事 讨论 有没有 条件 养 ,None
早就 看过 太 落伍 ,None
甩蛮 天天 看着 好看 耳钉 女人 何苦 为难 ,None
看 错 高 一米 六 ,None
故宫 书画 常设 展览 三个 月 更换 展品 看 第二轮 很 精彩 一期 郎世宁 巨作 ,Love
喜欢 勇闯 天涯 ,Love
学学 不动声色 不看 ,None
当时 懂 慢慢 懂 看 完 爱情 懂 ,None
妞 ,None
问 孩子 做 攻击 ,Disgust
下次 鄙视 ,None
不用 现金 境界 ,None
好点 上午 亲命 ,Fear
只能 帮 ,None
上网 上图 ,None
宁波 找 几天 讲 工作 故事 提到 好 几次 ,None
哈哈 ,Happiness
咋啦 咋啦 开心 ,Happiness
请 良知 充值 ,Disgust
诶 嘿嘿 爱 啾 啾 ,Happiness
委屈 气 二轮 开 ,Sorrow
好 甜 ,Love
看 彩排 太晚 观众 太 热情 ,None
长时间 想 干嘛 放个 假 玩 玩 好 ,None
草莓 好 难种 仙人掌 好 ,None
空下来 好好 调理 ,None
太 明目张胆 感受 太以 自我 中心 bs ,Disgust
朦 认得 ,Love
改革 一蹴而就 短期 没法 说 长期 目的 金融 秩序 ,None
赶紧 好好 练手 ,None
有时候 休息 会 心里 慌慌 ,Fear
戴 边框 影响 信号 ,None
草 味道 ,None
近视 ,None
好 猜 不想 唱歌 哈哈哈 ,Happiness
哈尔滨 乱来 文龙 想 当龙龙 何在 ,None
好 ,None
好 超级 超级 超级 期待 痘痘 太多 ,Love
哈哈 呆 蛋 疼 ,Happiness
烧烤 很 好吃 两天 樱桃 ,Love
生病 妈 ,Sorrow
头上 好 脸上 脖子 不好 ,Sorrow
哈哈 拉回去 ,Happiness
技术 平常 娱乐 ,None
美 很 天天 吃药 在家 无聊 死 ,Sorrow
嘻嘻 小可爱 ～ ～ 人母 婚 ,Happiness
回来 汇考 顺便 看望 ,None
院长 改正 ,None
真的 喝醉 不怪 ,None
学校 改 霸气 名 ,None
多穷 讲究 那套 东西 忽悠 从来不 信 吃 好练 好 张 肌肉 ,None
脸 越来越 白 身上 玩意 太 科学 脸是 白种人 身上 黄种人 ,None
提起 伤心事 ,Love
榨干 ,Disgust
古色古香 ： 形容 器物 书画 物品 富有 古典 雅致 色彩 情韵 ,Disgust
南非 很 发达 国家 犯罪率 高 ,None
皮肤 变丑 王总 ,Disgust
愿意 拍 最大 荣幸 ,Happiness
一大 二 花菜 炖 牛腩 大三 板栗 鸡 大四 青椒 炒肉 2.2 食堂 四年 吃腻 ,Love
真不知道 想 首页 开个 商城 入口 好 不想 点 签到 ,Disgust
想不到 回气 次次 恩 ,None
上次 太陡 跌 滑 ,None
无可厚非 君子爱财 取之有道 努力 赚来 有何不可 ,Love
嫌 偏少 ,None
做作 实在 ,Love
可恶 肉 分给 ,Disgust
很 好奇 专业 → wwww → ,None
组团 电灯泡 越来越 直视 ,Disgust
头等 ,None
看 仓鼠 太 可爱 ,Love
一点 丢人 真的 智齿 疼 哭 应该 戏份 ,None
自私 换个 角度 讲 迷失 自我 ,None
弹幕 清理 好 几次 月 貌似 清理 ,None
终于 嘿嘿 ,Happiness
mmp 看 孩子 说 喜欢 姓 陈 ,None
度过 平台 期瘦进 100 ,None
咁 样 嘅 有钱 请 佢 帮 捉 蚊 ,None
这时候 太猛 慢点 ,None
肌肉 变 肥肉 ,None
高中同学 真的 有报 公务员 话 说 报 ,None
冤枉 ,Sorrow
胖胖的 刀子 杀 ,None
恩 走 陪 浪 ,None
早 不如 动手 哦 哈哈 ,Happiness
喝完 酒 能飞 上天 太阳 肩并肩 ,None
联想 光驱 死 ,Disgust
明白 当断不断 反受 其乱 道理 ,Sorrow
哈哈 上海 下雨 哦 ,Happiness
好看 排 班超 用心 ,Love
懂 做饭 最香 一家人 吃 聊着 天 ,None
想 想开 工作室 那种 ,None
特别 搞不懂 第三局 首发 也许 保护 主力 几天 实在 太累 第二局 后半段 应该 换 二传 二传 挺 敢 ,None
回家 没得 回家 ,None
三月 爱 看 ,None
偷偷 喜欢 ,None
lia 下次 别 夸 再见 ,None
洗个 澡 好好 睡一觉 丹姐 ,Love
哈哈 没事 会 好 关大鸡 哈哈哈 哈哈哈 ,Happiness
哈哈哈 哈哈哈 饭圈 小姐姐 战斗力 太强 佩服 佩服 ,Happiness
反正 骂人 局 必输 ,Disgust
哈哈哈 公主 ,Happiness
担心 努力 运动 会 瘦下来 ,None
没钱 非要 做 违法 事情 ,Disgust
喜欢 两个 初衷 相处 累 长久 ,Love
武汉 应该 好吃 ,None
图 babe ,None
感觉 遇不到 ,Sorrow
温度 夸张 过分 现场 说 冷 ,None
哈哈 好 嬷嬷 哒 ,Happiness
饿 憨 咯 吃 多咯 失眠 咯 ,None
12 月 25 预产期 我要 冒火 老 ,None
总是 经历 ,None
麻烦 忘 ,None
比较 需要 一堆 人民币 ,None
称呼 错 师 祖母 夫人 师母 ,None
啊啊啊 霸道 总裁 非他莫属 分 分钟 想 睡 ,Love
白搭 顺便 梦见 小爷 莫名其妙 ,None
终于 晓得 对帅 标准 终于 说 好帅 终于 ～ ,Love
会 认得 床上 扭 好长时间 ,None
修车 师傅 跪 挺 辛苦 必要 赞美 ,None
添情 还行 哈哈 像是 外遇 节奏 成都 好 漂亮 托帅 拍 好 ,Love
倒霉 ,Disgust
营养学 学生 理 病理 农业 学生 物 化学 物理 数学 营养 食品科学 神奇 专业 ,None
制度 解释 制度 因素 制度 ,None
瘦 苟活 原因 瘦 ,None
包 红包 喜庆 喜庆 ,Love
长痘 听说 闭口 有用 ,None
～ ～ 很 喜欢 抱 走 ～ ,Love
哈哈哈 很 婆婆 帮忙 带娃 ,Happiness
刚来 超市 感觉 农村 进城 新奇 ,None
毕业 答辩 ,None
第一张 感触 很深 真 好 各奔东西 ,Love
营养素 葡萄籽 精华 钙镁片 鱼油 心脏 宝 ,None
当时 辣 眼睛 人多 吭声 ,Disgust
哼 姐姐 明年 抛弃 ,None
次 沙山 浑身 沙子 ,None
基带 丢失 ,None
财政局 批 找 海关 减个 税 ,None
哈哈 想着 ,Happiness
买个 头套 套 挣扎 伤到 ,None
狗头 东西 数典忘祖 【 】 ,Disgust
不行 一打 实战 太 少 ,Sorrow
真的 过不下去 勉强 ,None
最差 一代 lg ,Disgust
第一次 感觉 ,None
没笑 说 笑 点 好 低 人少 笑 感觉 尴尬 ,None
老 奚 拉 老 陈入 exo 坑 ,None
出去玩 太好了 希望 ,Love
懂 情调 微醉 状态 最 适合 学习 ,None
发现 遭 治疗 治愈率 很 高 ,None
当时 桌面 ,None
肯定 把脉 身体 哪出 问题 ,None
木电太 复杂 光 c 和弦 好 几十种 学好 木才 基础 学电 ,None
阿姨 最近 休息 好 ,None
好 努力 过掉 ,Love
师兄 只能 偷偷 玩 很 刺激 每次 围观 就让 快 走开 ,Happiness
我秀 一大块 ,Disgust
看过 几位 医生 治疗 方案 实在 很 有张 医生 比较 推荐 会 放心 ,None
特别 认同 最初 许多许多 默默 默默 说 不准 会 厚积薄发 早晨 ,Love
一说 电影 总有 一堆 比个 没完 瘦 胸 ,Disgust
阿西 感受一下 长发 背 好 冬天 想 剪 ,None
错过 真的 哈哈哈 哈哈哈 ,Sorrow
爱心 ! 真不错 ! ,Love
水瓶座 德行 ,Disgust
显然 几天 玩 屁事 一大堆 ,None
鑫哥 啥时候 还来 日本 ,None
下次 比比看 破 ,None
先 逻辑思维 练一练 哈哈 ,Happiness
吃 香 猥琐 关系 ,Disgust
明白 大神 学习 ,None
敢 穿 厚 脑壳 问题 ,None
哒 感觉 咋样 加油 哈 ,Love
一大半 领导 关系 领导 讲究 员工 会 跟着 享福 ,Love
老污婆 我家 澈澈 开车 ,None
老图 月初 ,None
一点 头 说 第二天 忘 教练 塞 两包 烟 ,Disgust
哈哈 书店 很 高大 无奈 选 菜谱 ,Happiness
冰冰凉凉 很 舒服 ,None
等于 说 暑假 回家 ,None
高冷 亲 ,None
最后 一句 公主岭 黑城 那家店 黑店 ,None
感动 哭 ,None
实物 名月 比雪椿 好看 讲真 ,Love
说 点 脱粉 好话 ,Disgust
想 想到 旅游 团餐 想 回去 妈 ,Love
拉近 拉开 ,None
好奇 图九 饮料瓶 固定 ,None
赞 接受 吻 嫌弃 ,None
看过 问题 ,None
阿佳妮 看过 一部 地下铁 爱 很 ,Love
您好 抱歉 您 带来 不便 团长 已为 您 催促 工作人员 会 ,None
早 买 没肚 肚时 穿着 舒服 再 收藏 一阵 ,None
我觉 明月 心 周婷 好看 ,None
穷 ,Sorrow
老夫老妻 承认 ,None
网上 骂 放心 建议 先学 一学 尊重 ,Disgust
事 低 不许 高 ,Disgust
谢谢 喜欢 家人 长寿 快乐 ,Love
镜头 没擦 干净 效果 ,None
一步 一步 毕业 很多 麻烦 事 一点点 解决 好 ,None
老家 噢 推荐 ,Happiness
变 疯婆子 ,None
哈哈 朋友 悲 催 ,Happiness
还活 证据 ,Disgust
谢谢 贴 照片 记得 穿 衣服 ,Love
